frame,track_id,label,result,distance_pr
237,2,person,forward shot,28.460498941515414
258,7,person,forward shot,21.224985276791124
373,9,person,serve,77.4919350642375
515,2,person,back shot,28.90069203323685
563,2,person,forward shot,30.84234102658227
924,3,person,neutral,17.72004514666935
932,928,person,forward shot,43.2030091544559
1153,1,person,back shot,52.65453446760307
1253,5,person,back shot,21.840329667841555
1303,1,person,back shot,108.33743581975715
1316,1828,person,back shot,106.26617523934885
1324,1828,person,back shot,92.76313923105448
2526,3018,person,serve,30.054117854297438
2996,3919,person,neutral,13.647344063956181
3029,3919,person,neutral,16.62077013859466
3492,1301,person,forward shot,38.658763560155414
3790,4036,person,forward shot,57.38466694161429
3898,4036,person,back shot,33.36540124140574
4752,1301,person,back shot,35.131894341182345
5051,6399,person,back shot,31.80015723231569
5258,6318,person,forward shot,24.041630560342615
5375,6899,person,forward shot,69.95176909842952
5437,6899,person,forward shot,49.60090724976712
5559,6899,person,forward shot,50.0
5697,7046,person,forward shot,35.92005011132362
6114,1301,person,back shot,28.81405906844782
6212,7774,person,forward shot,37.97696670351649
6295,7046,person,forward shot,42.78142120126446
7322,8149,person,serve,30.886890422961002
7922,10106,person,forward shot,39.131189606246316
8043,8149,person,neutral,21.10094784600919
8096,10106,person,neutral,114.50982490598787
