frame,track_id,label,x1,y1,x2,y2,confidence
64,16,ball,891,699,906,712,0.7268563508987427
65,16,ball,893,697,907,710,0.6823916435241699
66,16,ball,894,697,908,710,0.7099359631538391
67,16,ball,895,698,909,710,0.6722850203514099
68,16,ball,897,700,911,712,0.46221724152565
69,16,ball,899,703,913,716,0.5751585960388184
214,51,ball,882,696,896,708,0.7150263786315918
215,51,ball,884,695,897,707,0.6770869493484497
216,51,ball,886,694,899,706,0.6974604725837708
217,51,ball,887,695,901,707,0.7201286554336548
218,51,ball,889,698,903,709,0.6370707154273987
245,83,ball,880,292,890,302,0.3314109742641449
246,83,ball,880,292,890,302,0.3193840980529785
247,83,ball,880,292,890,302,0.36283692717552185
248,83,ball,881,291,890,301,0.3461245894432068
249,83,ball,881,290,891,301,0.35494890809059143
250,83,ball,881,290,891,300,0.3015199899673462
252,83,ball,881,289,891,299,0.2504899203777313
281,91,ball,1118,290,1127,299,0.5412665009498596
282,91,ball,1117,290,1126,299,0.5568962097167969
283,91,ball,1116,289,1125,298,0.5367934703826904
284,91,ball,1115,289,1124,298,0.5346752405166626
285,91,ball,1115,289,1124,298,0.5258036255836487
286,91,ball,1115,288,1124,298,0.5285992622375488
287,91,ball,1115,288,1124,297,0.5316975116729736
288,91,ball,1115,288,1124,297,0.5251375436782837
289,91,ball,1115,289,1124,297,0.5126778483390808
290,91,ball,1115,289,1123,297,0.5085150003433228
